Feature	ID
Flu-like symptoms	1.1
Bruising easily	1.1
Paresthesia	1.10
Vertigo	1.10
Headache	1.10
Headache that is sudden	1.10
Eye pain	1.10
Muscle weakness	1.10
Muscle weakness in proximal groups	1.10
Anxious	1.11
Nervous	1.11
Panic attack	1.11
Sleeping trouble	1.11
Sleeping with movement	1.11
Sleepy	1.11
Tired	1.11
Depressed	1.11
Light headed	1.2
Chest pain	1.2
Headache after waking up	1.3
Throat pain	1.3
Breathing trouble	1.3
Breathing trouble after bending	1.3
Breathing trouble during excertion	1.3
Breathing trouble that is sudden at night	1.3
Breathing trouble when lying down	1.3
Appetite loss	1.4
Nauseated	1.4
Vomiting	1.4
Abdominal epigastric pain	1.4
Abdominal pain	1.4
Abdominal right upper quadrant pain	1.4
Constipated	1.4
Diarrhea	1.4
Diarrhea that is watery	1.4
Peeing at night	1.5
Peeing frequently	1.5
Peeing trouble	1.5
Peeing with pain	1.5
Amenorrhea	1.6
Cervical motion tenderness	1.6
Erectile dysfunction	1.6
Low libido	1.6
Testicular pain	1.6
Neck pain	1.7
Weight gain	1.7
Weight loss	1.7
Craving salt	1.7
Craving sugar	1.7
Feeling cold	1.7
Feeling hot	1.7
Hungry	1.7
Sweating less	1.7
Sweating more	1.7
Thirsty	1.7
Jaw pain	1.8
Bone pain	1.8
Joint pain	1.8
Muscle cramp	1.8
Myalgia	1.8
Brain disease	2.10
Precipitating factor	2.0
Surgery	2.0
Trauma	2.0
Common	2.0
Not-miss	2.0
Congenital defect	2.0
Infection	2.0
Immunodeficiency	2.1
Autoimmunity	2.1
Cancer	2.1
Head trauma	2.10
Intracranial hypertension	2.10
Use of electrolyte	2.12
Use of aminoglutethimide	2.12
Use of amiodarone	2.12
Use of antiacid	2.12
Use of antibiotic	2.12
Use of anticoagulant	2.12
Use of antihypertensive	2.12
Use of carbamazepine	2.12
Use of chemotherapy	2.12
Use of cyclophosphamide	2.12
Use of dececlocycline	2.12
Use of estrogen	2.12
Use of etomidate	2.12
Use of furosemide	2.12
Use of glucocorticoid	2.12
Use of intravenous contrast	2.12
Use of isoniazid	2.12
Use of ketoconazole	2.12
Use of medication	2.12
Use of metyrapone	2.12
Use of mitotane	2.12
Use of psychotropic	2.12
Use of selective serotonin reuptake inhibitor	2.12
Use of tylenol	2.12
Heart disease	2.2
Psychiatric disease	2.11
Kidney disease	2.5
Puberty that is early	2.6
Puberty that is late	2.6
Early menopause	2.6
Lactation	2.6
Peripartum	2.6
Postpartum	2.6
Pregnancy	2.6
Gonadal disease	2.6
Growing fast	2.7
Growing slow	2.7
Hormonal change	2.7
Maternal transmission	3
Infant	4.1
African-American	4.10
Non-White	4.10
White	4.10
Endemic	4.11
Endemic in tropics	4.11
Long term care	4.11
Low socioeconomic status	4.12
Poor hygiene	4.12
Poor sleep hygiene	4.13
Sedentary lifestyle	4.14
Low UV light exposure	4.15
Exposure to lithium	4.15
Exposure to radiation	4.15
Exposure to toxin	4.15
High intake of calcium	4.16
High intake of iodine	4.16
High intake of potassium	4.16
High intake of vitamin D	4.16
Low intake of B12	4.16
Low intake of B6	4.16
Low intake of B9	4.16
Low intake of calcium	4.16
Low intake of carbohydrate	4.16
Low intake of iodine	4.16
Low intake of iron	4.16
Low intake of potassium	4.16
Low intake of vitamin B3	4.16
Low intake of vitamin D	4.16
Exercise	4.17
Stress	4.17
Preschool child	4.2
Child	4.3
Adolescent	4.4
Young adult	4.5
Adult	4.6
Middle aged	4.7
Elderly	4.8
Female	4.9
Male	4.9
Use of alcohol	5.1
Smoking	5.2
Use of cocaine	5.3
Use of opiate	5.3
Single	5.4
Sexual activity	5.4
Loss of interest	5.5
Loss of person	5.5
Midline defect	6.0
Ectopic lentis	6.0
Hand defect	6.0
Cafe-au-lait spot	6.0
Cachexia	6.1
Fever	6.1
Lymphadenopathy	6.1
Pale	6.1
Petechiae	6.1
Poor wound healing	6.1
Conjunctiva that is pale	6.1
Neck lymphadenopathy	6.1
Spleen enlargement	6.1
Areflexia	6.10
Akinesthesia	6.10
Ataxia	6.10
Gait that is wide	6.10
Hearing deficit	6.10
Hyperreflexia	6.10
Hyporeflexia	6.10
Neurological focal deficit	6.10
Speech that is slurred	6.10
Tremor	6.10
Tremor that is fine	6.10
Visual deficit	6.10
Vocal cord paralysis	6.10
Coma	6.10
Delirium	6.10
Dementia	6.10
Lethargic	6.10
Mental status change	6.10
Eye redness	6.10
Opsoclonus	6.10
Myoclonus	6.10
Retinal aneurysm	6.10
Retinal hemorrhage	6.10
Sensitive to light	6.10
Dysphagia	6.10
Neuropsychiatric overtone	6.11
Irritability	6.11
Restless	6.11
Blood pressure decrease when standing up	6.2
High blood pressure	6.2
Low blood pressure	6.2
Edema	6.2
Heart rate decrease	6.2
Heart rate increase	6.2
Heart rate increase that is sudden	6.2
"Heart rate that is rapid, strong, or irregular"	6.2
"Heart rate that is suddenly rapid, strong, or irregular"	6.2
Jagular venous distention	6.2
S3 gallop	6.2
Tricuspid regurgitation	6.2
Edema that is pitting	6.2
Skin that is moist and warm	6.2
Skin that is dry and cool	6.2
Hoarseness	6.3
Rhinorrhea	6.3
Breathing less	6.3
