Feature
Episodic hyperglycemia
Episodic hypoglycemia
High blood ACTH
High blood ADH
High blood IL6
High blood AFP
High blood ALT
High blood ANP
High blood AST
High blood BHCG
High blood BNP
High blood CRP
High blood Ca
High blood EPO
High blood FSH
High blood GH
High blood GH after glucose
High blood GRH
High blood IDL
High blood IGF1
High blood K
High blood LDH
High blood LDL
High blood LH
High blood Na
High blood PO4
High blood PTH
High blood RF
High blood TSH
High blood VIP
High blood VLDL
High blood albumin
High blood aldosterone
High blood alkaline phosphatase
High blood androgen
High blood bHCG
High blood bVLDL
High blood bilirubin
High blood calcitonin
High blood catecholamine
High blood cholesterol
High blood chylomicron
High blood cortisol
High blood creatine
High blood free T3
High blood free T4
High blood gastrin
High blood glucagon
High blood glucose
High blood hemoglobin A1C
High blood insulin
High blood ketone
High blood prolactin
High blood renin
High blood somatostatin
High blood triglyceride
High blood urea nitrogen
High blood vitamin D
Hyperglycemia
Low blood ACTH
Low blood ADH
Low blood CRH
Low blood Ca
Low blood FSH
Low blood GH
Low blood HDL
Low blood IGF1
Low blood K
Low blood LDL
Low blood LH
Low blood Na
Low blood PO4
Low blood PTH
Low blood TSH
Low blood aldosterone
Low blood cholecystokinin
Low blood cholesterol
Low blood clotting factor
Low blood cortisol
Low blood ferritin
Low blood free T4
Low blood gastric inhibitory peptide
Low blood gastrin
Low blood glucagon
Low blood hemoglobin
Low blood insulin
Low blood prolactin
Low blood renin
Low blood secretin
Low blood testosterone
Low blood vitamin D
Anion gap metabolic acidosis
High blood pH
Low blood pH
Clear serum
Creamy-top serum
High blood osmolality
Low blood osmolality
Turbid serum
