Feature	Priority
Easy bruising	1.1.0
Flu-like symptom	1.1.0
Bendopnea	1.2.0
Chest pain	1.2.0
Dizziness	1.2.0
Dyspnea	1.3.0
Exertional dyspnea	1.3.0
Morning headache	1.3.0
Nocturnal paroxysmal dyspnea	1.3.0
Orthopnea	1.3.0
Throat pain	1.3.0
Abdominal pain	1.4.0
Constipation	1.4.0
Diarrhea	1.4.0
Epigastric abdominal pain	1.4.0
Loss of appetite	1.4.0
Nausea	1.4.0
Right upper quadrant abdominal pain	1.4.0
Vomiting	1.4.0
Watery diarrhea	1.4.0
Dysuria	1.5.0
Hematuria	1.5.0
Nocturia	1.5.0
Polyuria	1.5.0
Amenorrhea	1.6.0
Cervical motion tenderness	1.6.0
Galactorrhea	1.6.0
Irregular mense	1.6.0
Low libido	1.6.0
Menorrhagia	1.6.0
Testicular pain	1.6.0
Anhidrosis	1.7.0
Cold intolerance	1.7.0
Diaphoresis	1.7.0
Heat intolerance	1.7.0
Neck pain	1.7.0
Polydipsia	1.7.0
Polyphagia	1.7.0
Salt craving	1.7.0
Sugar craving	1.7.0
Weight gain	1.7.0
Weight loss	1.7.0
Arthralgia	1.8.0
Bone pain	1.8.0
Jaw pain	1.8.0
Muscle cramp	1.8.0
Claudication	1.8.0
Eye pain	1.10.0
Headache	1.10.0
Muscle weakness	1.10.0
Paresthesia	1.10.0
Paroxysmal headache	1.10.0
Proximal muscle weakness	1.10.0
Vertigo	1.10.0
Anxiety	1.11.0
Depression	1.11.0
Fatigue	1.11.0
Movement during sleep	1.11.0
Nervousness	1.11.0
Sleepiness	1.11.0
Trouble sleeping	1.11.0
