Feature	Priority
Acetaminophen	2.12.1
Aminoglutethimide	2.12.1
Amiodarone	2.12.1
Antiacid	2.12.1
Antibiotic	2.12.1
Anticoagulant	2.12.1
Antihypertensive	2.12.1
Carbamazepine	2.12.1
Chemotherapy	2.12.1
Cyclophosphamide	2.12.1
Dececlocycline	2.12.1
Doxorubicin	2.12.1
Clopidogrel	2.12.1
Electrolyte	2.12.1
Estrogen	2.12.1
Etomidate	2.12.1
Furosemide	2.12.1
Glucocorticoid	2.12.1
Intravenous contrast	2.12.1
Isoniazid	2.12.1
Ketoconazole	2.12.1
Lisinopril	2.12.1
Metyrapone	2.12.1
Mitotane	2.12.1
Psychotropic	2.12.1
SSRI	2.12.1
